CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2020-2021
12095,"Orange, FL",3,Current-dollar GDP (thousands of current dollars),17.1
12097,"Osceola, FL",1,Real GDP (thousands of chained 2017 dollars),10.3
12097,"Osceola, FL",2,Chain-type quantity indexes for real GDP,10.3
12097,"Osceola, FL",3,Current-dollar GDP (thousands of current dollars),15.2
12099,"Palm Beach, FL",1,Real GDP (thousands of chained 2017 dollars),10.7
12099,"Palm Beach, FL",2,Chain-type quantity indexes for real GDP,10.7
12099,"Palm Beach, FL",3,Current-dollar GDP (thousands of current dollars),15.2
12101,"Pasco, FL",1,Real GDP (thousands of chained 2017 dollars),10.7
12101,"Pasco, FL",2,Chain-type quantity indexes for real GDP,10.7
12101,"Pasco, FL",3,Current-dollar GDP (thousands of current dollars),15.1
12103,"Pinellas, FL",1,Real GDP (thousands of chained 2017 dollars),7
12103,"Pinellas, FL",2,Chain-type quantity indexes for real GDP,7
12103,"Pinellas, FL",3,Current-dollar GDP (thousands of current dollars),10.4
12105,"Polk, FL",1,Real GDP (thousands of chained 2017 dollars),5.8
12105,"Polk, FL",2,Chain-type quantity indexes for real GDP,5.8
12105,"Polk, FL",3,Current-dollar GDP (thousands of current dollars),12
12107,"Putnam, FL",1,Real GDP (thousands of chained 2017 dollars),-5.3
12107,"Putnam, FL",2,Chain-type quantity indexes for real GDP,-5.3
12107,"Putnam, FL",3,Current-dollar GDP (thousands of current dollars),1.1
12109,"St. Johns, FL",1,Real GDP (thousands of chained 2017 dollars),9.4
12109,"St. Johns, FL",2,Chain-type quantity indexes for real GDP,9.4
12109,"St. Johns, FL",3,Current-dollar GDP (thousands of current dollars),13.6
12111,"St. Lucie, FL",1,Real GDP (thousands of chained 2017 dollars),7.5
12111,"St. Lucie, FL",2,Chain-type quantity indexes for real GDP,7.5
12111,"St. Lucie, FL",3,Current-dollar GDP (thousands of current dollars),13.4
12113,"Santa Rosa, FL",1,Real GDP (thousands of chained 2017 dollars),6.1
12113,"Santa Rosa, FL",2,Chain-type quantity indexes for real GDP,6.1
12113,"Santa Rosa, FL",3,Current-dollar GDP (thousands of current dollars),11.1
12115,"Sarasota, FL",1,Real GDP (thousands of chained 2017 dollars),4.8
12115,"Sarasota, FL",2,Chain-type quantity indexes for real GDP,4.8
12115,"Sarasota, FL",3,Current-dollar GDP (thousands of current dollars),8.1
12117,"Seminole, FL",1,Real GDP (thousands of chained 2017 dollars),6.9
12117,"Seminole, FL",2,Chain-type quantity indexes for real GDP,6.9
12117,"Seminole, FL",3,Current-dollar GDP (thousands of current dollars),10.3
12119,"Sumter, FL",1,Real GDP (thousands of chained 2017 dollars),16.6
12119,"Sumter, FL",2,Chain-type quantity indexes for real GDP,16.6
12119,"Sumter, FL",3,Current-dollar GDP (thousands of current dollars),21.8
12121,"Suwannee, FL",1,Real GDP (thousands of chained 2017 dollars),4.6
12121,"Suwannee, FL",2,Chain-type quantity indexes for real GDP,4.6
12121,"Suwannee, FL",3,Current-dollar GDP (thousands of current dollars),12.2
12123,"Taylor, FL",1,Real GDP (thousands of chained 2017 dollars),-6.5
12123,"Taylor, FL",2,Chain-type quantity indexes for real GDP,-6.5
12123,"Taylor, FL",3,Current-dollar GDP (thousands of current dollars),1.5
12125,"Union, FL",1,Real GDP (thousands of chained 2017 dollars),6.3
12125,"Union, FL",2,Chain-type quantity indexes for real GDP,6.3
12125,"Union, FL",3,Current-dollar GDP (thousands of current dollars),11.8
12127,"Volusia, FL",1,Real GDP (thousands of chained 2017 dollars),4.9
12127,"Volusia, FL",2,Chain-type quantity indexes for real GDP,4.9
12127,"Volusia, FL",3,Current-dollar GDP (thousands of current dollars),9.5
12129,"Wakulla, FL",1,Real GDP (thousands of chained 2017 dollars),6
12129,"Wakulla, FL",2,Chain-type quantity indexes for real GDP,6
12129,"Wakulla, FL",3,Current-dollar GDP (thousands of current dollars),12.5
12131,"Walton, FL",1,Real GDP (thousands of chained 2017 dollars),16.6
12131,"Walton, FL",2,Chain-type quantity indexes for real GDP,16.6
12131,"Walton, FL",3,Current-dollar GDP (thousands of current dollars),21.2
12133,"Washington, FL",1,Real GDP (thousands of chained 2017 dollars),4.9
12133,"Washington, FL",2,Chain-type quantity indexes for real GDP,4.9
12133,"Washington, FL",3,Current-dollar GDP (thousands of current dollars),10.2
,,,,
Legend/Footnotes,,,,
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020.",,,,
"  Last updated: December 7, 2023 -- new statistics for 2022, revised statistics for 2017-2021.",,,,
